DATE,MRTSSM44112USN
2010-08-01,6288
2010-09-01,5971
2010-10-01,6123
2010-11-01,5604
2010-12-01,5522
2011-01-01,5976
2011-02-01,7295
2011-03-01,7661
2011-04-01,6446
2011-05-01,6260
2011-06-01,6460
2011-07-01,6348
2011-08-01,6438
2011-09-01,5951
2011-10-01,5710
2011-11-01,5530
2011-12-01,5642
2012-01-01,5889
2012-02-01,7728
2012-03-01,7757
2012-04-01,6811
2012-05-01,6667
2012-06-01,6658
2012-07-01,6411
2012-08-01,7237
2012-09-01,6383
2012-10-01,6450
2012-11-01,6167
2012-12-01,6070
2013-01-01,6766
2013-02-01,8397
2013-03-01,8250
2013-04-01,7411
2013-05-01,7190
2013-06-01,6970
2013-07-01,6963
2013-08-01,7269
2013-09-01,6243
2013-10-01,6682
2013-11-01,6183
2013-12-01,5592
2014-01-01,6065
2014-02-01,8022
2014-03-01,8564
2014-04-01,7601
2014-05-01,7695
2014-06-01,7542
2014-07-01,7657
2014-08-01,7936
2014-09-01,7584
2014-10-01,7933
2014-11-01,6822
2014-12-01,7003
2015-01-01,7435
2015-02-01,9092
2015-03-01,9331
2015-04-01,8969
2015-05-01,8544
2015-06-01,8337
2015-07-01,8377
2015-08-01,8353
2015-09-01,7689
2015-10-01,7911
2015-11-01,7193
2015-12-01,7099
2016-01-01,7638
2016-02-01,10269
2016-03-01,9947
2016-04-01,9093
2016-05-01,8490
2016-06-01,8896
2016-07-01,8743
2016-08-01,9287
2016-09-01,8421
2016-10-01,8792
2016-11-01,7864
2016-12-01,8465
2017-01-01,8497
2017-02-01,9598
2017-03-01,10955
2017-04-01,9237
2017-05-01,9726
2017-06-01,9778
2017-07-01,9527
2017-08-01,9632
2017-09-01,9265
2017-10-01,9139
2017-11-01,8594
2017-12-01,8226
2018-01-01,8836
2018-02-01,9923
2018-03-01,11259
2018-04-01,9543
2018-05-01,10096
2018-06-01,9777
2018-07-01,9788
2018-08-01,10081
2018-09-01,8951
2018-10-01,9104
2018-11-01,8656
2018-12-01,8376
2019-01-01,8828
2019-02-01,9675
2019-03-01,11856
2019-04-01,10345
2019-05-01,10549
2019-06-01,10078
2019-07-01,10255
2019-08-01,10357
2019-09-01,9404
2019-10-01,9696
2019-11-01,9355
2019-12-01,8669
2020-01-01,8971
2020-02-01,10567
2020-03-01,9273
2020-04-01,6403
2020-05-01,10525
2020-06-01,11761
2020-07-01,12206
2020-08-01,12097
